Model,Accuracy,Precision,Recall,F1-Score,AUC-ROC,AUC-PR,ECE,Log-Loss,Brier-Score,Opt_Threshold,TN,FP,FN,TP
GCN,0.9010797840431913,0.1246684350132626,0.08679593721144968,0.10234077299945564,0.7760882962285793,0.175119016617089,0.3888298509949757,1.0660981196345172,0.3000890612602234,0.993,14927,660,989,94
GAT,0.9014397120575884,0.07957957957957958,0.048938134810710986,0.06060606060606061,0.79246280416577,0.16073024098506491,0.5208954364130632,1.3423227268380977,0.42404353618621826,0.984,14974,613,1030,53
GraphSAGE,0.9048590281943611,0.35521013241220495,0.569713758079409,0.4375886524822695,0.8303437690842709,0.2821952611052181,0.3481263821000422,0.8685511768746508,0.248469278216362,0.9570000000000001,14467,1120,466,617
GIN,0.9020395920815837,0.19170403587443946,0.15789473684210525,0.17316455696202532,0.7488301595648669,0.1647853664822214,0.38993254825606916,1.1441962187700911,0.32208251953125,0.991,14866,721,912,171
Bayesian GCN,0.9006598680263947,0.3041695146958305,0.41089566020313945,0.3495679497250589,0.792402972598149,0.20994487763579547,0.36742437788752935,0.8538841063968321,0.2621247172355652,0.9319999999999999,14569,1018,638,445
Bayesian GAT,0.900239952009598,0.2895500725689405,0.3684210526315789,0.3242584315318976,0.8182085646697199,0.21753026278556933,0.48708503101430006,1.1165644351838027,0.3808228671550751,0.944,14608,979,684,399
Bayesian GraphSAGE,0.9258548290341931,0.43981117230527145,0.5161588180978762,0.4749362786745964,0.8316526290553584,0.3263156587509719,0.3543693567585395,0.8421362064126529,0.25712838768959045,0.9670000000000001,14875,712,524,559
Bayesian GNN (BNN),0.9314337132573486,0.4746192893401015,0.518005540166205,0.495364238410596,0.8390694331124838,0.3474595312451005,0.4029595839756921,0.7850946067157233,0.27174532413482666,0.919,14966,621,522,561
Graph-SSL (Pseudo-Label),0.9129574085182963,0.3768406961178046,0.5198522622345337,0.43694218083042297,0.8496645078133808,0.32357947855719754,0.41142148885163066,1.1151122085228917,0.32269448041915894,0.984,14656,931,520,563
