Model,Accuracy,Precision,Recall,F1-Score,AUC-ROC,AUC-PR,ECE,Log-Loss,Brier-Score,Opt_Threshold,TN,FP,FN,TP
Dir-ResGCN,0.8565270206210003,0.6839077815102849,0.84070596221292,0.7542439544266538,0.9249385667303798,0.7884439909729546,0.29488176063152793,0.7171565299699192,0.22652503848075867,0.895,42957,6869,2816,14862
Dir-ResGAT,0.7722209054278265,0.5402082023335429,0.8747595881887091,0.6679336558396682,0.8828511028084716,0.6894006939882502,0.49725259654334286,1.9397557622314234,0.4516637325286865,0.985,36664,13162,2214,15464
Dir-ResSAGE,0.8460831950699218,0.6606135401974612,0.8478334653241317,0.7426051627607393,0.9195416856861675,0.7785944703399559,0.30522857181499197,0.8136899604574338,0.2470213621854782,0.922,42126,7700,2690,14988
Dir-GIN,0.8436981512206684,0.665259936001484,0.8114605724629483,0.7311230600647283,0.908977214004884,0.7336123604672307,0.3418430582198636,1.0153758130277029,0.2856362462043762,0.961,42608,7218,3333,14345
Bayesian Dir-GCN,0.8596972031287035,0.7004543012065849,0.8111211675528907,0.7517366117067289,0.9235149185780387,0.7866869335019635,0.3499985861370256,0.8251818301136435,0.2684440612792969,0.918,43694,6132,3339,14339
Bayesian Dir-GAT,0.7775983645413606,0.5507136060894386,0.8185315080891503,0.6584305963187951,0.8658448433016634,0.6447667411736671,0.49921039120190625,1.7467067986530251,0.44811928272247314,0.98,38021,11805,3208,14470
Bayesian Dir-SAGE,0.8573121592794501,0.6848465355633155,0.8431383640683335,0.7557933167689265,0.9237292922713047,0.7769630500539781,0.29346440789078077,0.7144642797684456,0.2260546237230301,0.891,42967,6859,2773,14905
Bayesian GNN (BNN),0.8696966105712254,0.7206598429891682,0.8204548025794773,0.7673262088667866,0.9315220468758602,0.8068227958429043,0.3808911119208149,0.8877086120816967,0.29229143261909485,0.9319999999999999,44204,5622,3174,14504
