Model,Accuracy,Precision,Recall,F1-Score,AUC-ROC,AUC-PR,ECE,Log-Loss,Brier-Score,Opt_Threshold,TN,FP,FN,TP
GCN,0.8347949751125859,0.64281337535014,0.8308066523362372,0.7248186349504022,0.9032917582943137,0.6999837605441014,0.34557167655857013,1.0137607529516088,0.284787118434906,0.945,41665,8161,2991,14687
GAT,0.8077150983645414,0.5955266368442457,0.8283742504808236,0.6929118955238005,0.8954019099488053,0.7256867003216075,0.48187379433963184,1.7077146594450887,0.43130403757095337,0.985,39880,9946,3034,14644
GraphSAGE,0.8423648968949988,0.6523226113684575,0.852358864124901,0.7390440689604434,0.9135429381134004,0.7566242940919374,0.3818128506924968,1.1795508139296045,0.32016271352767944,0.971,41795,8031,2610,15068
GIN,0.8150331832187723,0.6075215374420145,0.8297318701210544,0.7014489981349529,0.8773662484602429,0.586352628776409,0.3250594854172578,1.0110482797440623,0.2703624665737152,0.9219999999999999,40350,9476,3010,14668
Bayesian GCN,0.8360245318795924,0.6466776155177771,0.8241316891051024,0.7246996791603452,0.9060838852366094,0.7222203217026103,0.35379785109151524,0.9632283360067564,0.2882402837276459,0.94,41866,7960,3109,14569
Bayesian GAT,0.8216846409101682,0.6269866282472649,0.787758796243919,0.6982376093659907,0.8967279177129803,0.7183924581777723,0.472735723143836,1.4932923343557964,0.41111671924591064,0.979,41541,8285,3752,13926
Bayesian GraphSAGE,0.8699780753733112,0.7192040585135202,0.8259984161104197,0.7689107711750612,0.930183837469066,0.7975657248911318,0.32910262884387387,0.8672819441508486,0.260287344455719,0.952,44125,5701,3076,14602
Bayesian GNN (BNN),0.8733852808722447,0.7230010257412202,0.837311913112343,0.7759691751199183,0.9350218628459124,0.8128742211673073,0.38521208185871436,0.9576785111756617,0.3020422160625458,0.952,44155,5671,2876,14802
